geo,name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,1291622,1314492,1320099,1323502,1333989,1357410,1387305,1421007,1457835,1497366,1541407,1603667,1649841,1686720,1724012,1770697,1828431,1878832,1927296,1979483,2041599,2117019,2185479,2248406,2305710,2356561,2426343,2486634,2530243,2544600,2520386,2512123,2470592,2408348,2349141,2320143,2278178,2229272,2205418,2251483,2412476,2578479,2808105,3080466,3336694,3515020,3700626,3838877,3936710,4031994,4166247,4324644,4486513,4647080,4789353,4898190,5022432,5112694,5180139,5242269,5315605,5365812,5408414,5444573,5475260,5500914,5528751,5562987,5601443,5638782,5672509,5724647,5758824,5779595,5795657,5814358,5840911,5859380,5872838,5883094,5892526,5905645,5913871,5918083,5919136,5918288,5922727,5919828,5911137,5898714,5884704,5875541,5860052,5839539,5815219,5788595,5766500,5738077,5705160,5670265,5635724,5606274,5575602,5543724,5510172,5475225,5448887,5416124,5378527,5338425,5298034,5264322,5226329,5185280,5142337,5098848,5061448,5021273,4979042,4935643,4892143,4855783,4816862,4776047,4734154,4692239,4657902,4620260,4580336,4539461,4499030,4465298,4429360,4391884,4353569,4315353,4283393,4248801,4212385,4175186,4138352,4106806,4073192,4038187,4002579,3967330,3936789,3904362,3870750,3836805,3803457
ago,Angola,739236,763813,790153,816877,843456,872685,913314,941707,962728,980325,994671,988990,995199,1005359,1010238,1007805,1024088,1017076,1002390,1003129,1034002,1045736,1103531,1191933,1283662,1360041,1456780,1509959,1534047,1556004,1596903,1636925,1697014,1773661,1854985,1933083,2023165,2102801,2174195,2243046,2314341,2395820,2467342,2533585,2599556,2670605,2749750,2826364,2904321,2988059,3082554,3192809,3302279,3415317,3537941,3676787,3838602,3998054,4156762,4314412,4472076,4645824,4798718,4936335,5065476,5192358,5318678,5437118,5552546,5670471,5795004,5918800,6057972,6208891,6365659,6524611,6701428,6869181,7031317,7194201,7363393,7544666,7721337,7895525,8068088,8240559,8419428,8591341,8758872,8925524,9094253,9267688,9441405,9614716,9785595,9953178,10129666,10295013,10452640,10607915,10765222,10928325,11091145,11253969,11415894,11576874,11748154,11913494,12074470,12233668,12393489,12563965,12729505,12890780,13047746,13201031,13363951,13515948,13660050,13800667,13941344,14088374,14234688,14379231,14519342,14653636,14799055,14932311,15055665,15172614,15286085,15406871,15520263,15628669,15735135,15842167,15957784,16075724,16193471,16306732,16413017,16535103,16639759,16730250,16812546,16892398,16977079,17055225,17128322,17193238,17244261
alb,Albania,180780,186637,193969,202493,212033,222537,234911,245518,254829,263645,272916,282894,291665,299270,305334,309722,313616,314495,313477,312343,312372,311085,313106,317358,321860,325230,330456,332932,333576,334192,336115,337950,340679,344572,349898,356913,365634,376387,386793,392603,390242,390904,382084,366412,349403,336031,321275,309225,299548,290300,279835,267993,255866,243527,231341,219405,207542,196759,187163,179312,173861,170685,169675,170014,170558,171038,176517,176522,173110,169053,166278,162023,159440,158030,156379,153570,150510,146495,141722,136873,132405,127840,123794,120225,116958,113906,111528,109284,107185,105293,103705,103027,102078,100991,99908,98973,98477,97717,96781,95725,94614,93557,92282,90838,89271,87627,85950,84168,82305,80412,78529,76782,75018,73256,71522,69866,68578,67205,65800,64422,63145,62308,61340,60293,59231,58224,57595,56797,55877,54904,53944,53233,52360,51373,50317,49232,48319,47241,46054,44811,43581,42519,41394,40219,39018,37819,36895,35840,34693,33532,32467
are,UAE,12031,11849,12307,13010,13723,14335,14857,15134,15396,15940,17063,17639,18773,20265,21863,23431,24748,26172,28148,31353,36485,40010,44204,49323,56193,65850,76025,88972,103970,119024,131831,143142,155151,167029,178430,188927,194675,203181,213248,222838,229716,231342,232315,231986,231231,232343,239149,244700,250986,258601,266426,255341,251751,256148,271206,299512,319169,351148,388511,421302,441727,477963,498557,505841,506263,505521,506240,505029,503147,501230,499138,491770,492391,497716,502873,504423,509547,508589,503227,496968,492124,486956,484535,484364,484736,484424,484696,485458,486618,488536,491289,494787,499591,505298,511195,516726,522962,528541,533643,538563,543432,546301,549215,552193,555144,557864,558189,559452,561323,563355,565092,565934,567283,568911,570606,572127,573568,575143,576878,578801,580832,582724,585267,588334,591734,595251,598931,603217,607895,612701,617381,622371,627322,632190,636891,641272,645536,649754,653837,657625,660903,663875,666932,669958,672771,675146,677423,679993,682758,685578,688275
arg,Argentina,1994556,2040059,2069620,2094441,2118050,2140949,2156659,2178432,2202547,2225427,2244855,2269255,2288433,2303960,2318986,2335930,2357161,2378448,2402601,2433267,2473308,2520729,2578999,2646646,2722574,2805986,2907874,3016244,3122700,3212742,3278151,3353058,3363392,3333294,3301193,3293429,3248348,3270270,3337215,3409303,3458700,3534615,3573875,3583042,3579943,3577417,3574466,3558558,3537507,3518615,3507341,3485213,3491067,3514967,3541040,3558316,3591060,3602178,3599079,3596750,3606003,3614824,3636300,3666302,3694669,3714607,3739522,3749363,3747739,3741882,3736651,3725618,3718154,3713289,3708194,3700829,3692893,3686673,3680689,3673631,3664583,3659828,3650141,3637083,3623227,3610467,3598952,3589415,3581093,3572182,3561506,3553817,3543372,3530857,3517709,3504901,3493673,3483266,3473192,3462397,3450170,3440616,3429163,3416019,3401686,3386493,3373186,3359041,3344172,3328658,3312507,3298515,3284881,3271132,3256612,3240871,3228475,3214517,3199327,3183577,3167686,3154337,3141603,3129058,3115798,3101081,3089782,3076889,3062552,3047397,3031864,3018982,3006634,2994373,2981388,2967036,2956007,2943910,2930659,2916222,2900449,2887734,2874186,2859668,2844087,2827490,2813821,2800435,2787435,2774594,2761175
arm,Armenia,150356,174794,188915,201742,216572,235219,252853,272336,291771,309178,323412,336319,344888,349191,349615,346340,338341,326456,312631,300200,291511,279476,278889,286213,295343,301645,313178,318939,320624,322361,327083,332884,341397,351736,361912,370907,383587,392628,397020,395153,385616,375575,358210,335781,312021,290038,263533,241072,222626,207898,196554,185268,180921,181555,184231,186629,194012,197399,197963,198354,201083,205722,208969,211602,213576,214743,213834,212583,210839,208380,204987,200008,195084,190104,185075,179971,174621,169828,165503,161604,158152,155692,153502,151640,150231,149416,149828,150234,150696,151274,152057,153571,154675,155447,155917,156131,156277,155837,154914,153642,152106,150017,147907,145750,143491,141092,138540,136097,133751,131514,129422,127724,126148,124706,123429,122371,121946,121473,120999,120592,120320,120514,120530,120419,120214,119959,119838,119451,118854,118096,117223,116234,115110,113878,112550,111142,109694,108237,106769,105298,103847,102621,101401,100198,99024,97918,97225,96447,95609,94788,94098
atg,Antigua and Barbuda,7092,7273,7412,7521,7616,7711,7848,7984,8114,8240,8354,8519,8637,8724,8815,8942,9166,9369,9535,9616,9573,9482,9337,9134,8907,8705,8510,8339,8191,8059,7933,7766,7616,7480,7348,7217,7026,6849,6694,6584,6556,6577,6619,6694,6796,6908,6978,7070,7168,7253,7288,7207,7172,7158,7148,7125,7122,7095,7048,6997,6979,7153,7226,7236,7225,7238,7361,7403,7401,7380,7355,7293,7238,7191,7140,7079,7002,6945,6900,6858,6806,6773,6721,6657,6597,6547,6505,6476,6458,6442,6423,6419,6408,6390,6368,6351,6337,6323,6312,6294,6268,6245,6213,6176,6134,6093,6046,6005,5965,5928,5887,5848,5812,5778,5747,5711,5686,5661,5632,5605,5579,5560,5536,5514,5490,5470,5450,5430,5410,5390,5362,5345,5321,5293,5263,5233,5203,5175,5147,5119,5089,5063,5039,5013,4988,4962,4941,4921,4899,4874,4850
aus,Australia,888742,925136,941558,955051,970891,988611,990739,1010782,1039641,1067891,1088625,1115813,1130923,1137780,1144894,1158798,1174611,1191474,1209600,1226449,1238526,1248431,1262531,1274426,1276381,1265969,1271079,1242502,1195106,1152108,1129308,1091595,1095536,1128178,1165727,1192438,1238661,1257379,1256544,1252496,1255771,1254064,1263242,1279221,1292496,1297817,1307872,1306569,1297608,1287274,1278736,1259207,1247929,1244875,1251114,1268643,1290249,1328020,1376075,1423677,1461885,1508644,1533838,1543818,1551012,1564345,1572518,1595449,1627081,1654857,1669707,1686733,1687017,1674905,1660121,1649258,1632625,1626820,1628836,1632171,1632367,1637690,1639942,1639924,1640368,1643108,1650518,1658752,1668085,1678224,1689076,1703880,1719147,1734580,1749642,1763865,1781377,1796826,1810372,1822289,1832702,1844085,1854220,1863026,1870217,1875409,1881032,1886072,1890264,1893265,1894688,1897698,1900411,1902702,1904647,1906243,1910713,1916073,1922017,1928013,1933547,1943607,1953272,1962333,1970790,1978688,1990717,2002006,2012613,2022370,2030914,2042522,2053553,2063604,2072101,2078510,2087671,2095480,2101880,2106942,2110527,2116688,2123209,2129462,2134573,2137701,2145116,2151518,2156537,2160295,2163170
aut,Austria,516129,493456,480028,475595,480107,490872,503038,520992,541224,561310,580913,609830,627316,636542,641911,646655,646807,645539,642499,635496,622908,603724,581328,556704,532063,508594,480589,460540,446779,437206,430482,429569,432003,436220,439978,441996,450074,446872,437253,429191,428844,426492,435829,452684,467480,472414,475139,465952,448013,429423,416398,399425,393096,394693,397956,398127,399997,398647,394909,391651,390934,390770,392359,395808,400744,407016,414550,423743,433611,442324,448166,454260,456697,456147,454237,452192,448012,445444,443895,442121,439105,435030,431083,427081,423098,419086,415007,411550,408615,406094,403856,402188,401312,401025,401110,401379,402567,403992,405571,407213,408813,410817,412886,414910,416683,417979,419010,419947,420645,420933,420575,419539,418587,417555,416252,414433,412140,410276,408611,406939,405052,403343,402213,401437,400787,400046,399897,400073,400457,400897,401179,401940,402893,403888,404758,405331,406053,407010,408009,408776,408998,409242,409553,409727,409571,408910,408224,407768,407372,406801,405719
aze,Azerbaijan,341856,391283,429213,464845,499366,535160,575011,608662,638485,667917,699845,727986,761805,796633,824480,839752,855527,849351,827472,801076,778567,746748,727625,718470,712418,704578,701644,697239,692545,691521,697245,711604,729077,749799,773414,800083,835340,868579,898416,922209,938591,957274,957730,943945,921391,894380,855415,815832,777756,743068,712542,674032,653134,645037,643200,643145,656929,665248,671126,681534,702249,734346,771215,809746,842221,863675,889384,889916,872446,848367,825398,785094,757569,739435,723566,704719,684562,668592,655250,644802,637424,638171,638198,638111,638559,640340,647379,651113,652560,652538,651721,650182,646973,642484,636966,630492,621408,613520,606334,599253,591770,584091,577135,570663,564601,558908,554606,550215,545886,541821,538222,535813,533267,530700,528182,525797,524002,522068,520008,517803,515437,513182,510690,507971,505015,501807,498339,494706,490961,487198,483453,479389,475699,472287,469014,465779,462778,459875,457038,454261,451542,449325,447028,444675,442321,440048,438217,436424,434711,433028,431238
